Zip,NumTotal,NumRetired,NumDisabled,NumWidowerorParent,NumSpouses,NumChildren,BenTotal,BenRetired,BenWidowerorParent,NumSeniors
"75756",835,530,130,70,45,60,907,612,78,570
"75757",2380,1605,285,195,140,155,2802,2037,234,1740
"75758",2580,1650,425,200,120,185,2888,2007,234,1760
"75762",2420,1625,325,170,125,175,2876,2079,220,1715
"75765",2605,1990,240,160,115,100,3108,2514,191,2035
"75770",620,415,100,40,25,40,689,496,47,430
"75771",4520,3160,505,335,240,280,5295,3983,394,3390
"75773",3505,2390,465,275,170,205,3915,2877,299,2565
"75778",925,645,135,65,35,45,1067,779,74,665
"75782",60,40,5,10,5,0,65,47,6,50
"75783",2265,1540,315,205,95,110,2603,1854,237,1665
"75789",1635,1010,265,140,85,135,1786,1207,156,1115
"75790",970,615,140,85,50,80,1061,740,92,675
"75791",2160,1360,305,185,95,215,2450,1671,217,1455
"75792",795,485,150,60,35,65,854,566,69,530
"77420",410,270,45,60,15,20,463,318,68,305
"77432",70,40,10,5,10,5,70,44,6,50
"77435",795,505,70,110,55,55,914,636,119,605
"77436",50,30,5,10,0,5,52,30,11,35
"77437",3010,1765,385,415,195,250,3211,2082,458,2160
"77443",70,40,10,10,5,5,67,43,9,40
"77448",165,95,30,15,10,15,165,101,16,110
"77453",70,50,5,5,5,5,72,58,5,50
"77454",40,25,5,5,0,5,44,24,6,25
"77455",330,200,30,45,25,30,357,239,51,250
"77467",25,15,0,5,0,5,27,19,5,15
"77488",2870,1765,440,295,155,215,3043,2025,337,2000
"77901",6845,3670,1240,785,405,745,6788,4095,851,4310
"77902",405,195,85,35,15,75,397,246,38,230
"77903",610,315,145,50,25,75,657,402,55,345
"77904",4725,3065,465,535,350,310,5753,4085,687,3615
"77905",2740,1750,380,250,200,160,3162,2200,283,1940
"77950",65,50,5,5,5,0,73,60,7,55
"77951",450,215,95,45,45,50,443,247,48,260
"77954",2340,1375,400,270,140,155,2389,1546,269,1630
"77957",1730,990,255,225,115,145,1845,1165,263,1230
"77960",50,25,5,5,5,10,51,29,8,30
"77961",20,10,0,5,5,0,22,14,4,15
"77962",610,355,70,90,50,45,658,412,104,460
"77963",1325,815,165,140,95,110,1340,917,136,940
"77964",2025,1375,220,205,120,105,2162,1568,209,1550
"77968",485,295,55,55,35,45,548,366,62,345
"77969",35,15,5,10,5,0,38,18,9,25
"77970",70,35,10,5,10,10,84,53,7,50
"77971",165,85,20,25,20,15,198,117,32,115
"77974",90,55,10,15,5,5,95,60,14,65
"77975",490,350,35,50,35,20,502,387,45,395
"77976",85,40,15,10,10,10,93,57,11,55
"77977",145,60,30,20,15,20,133,67,14,80
"77978",140,75,20,25,10,10,164,99,33,100
"77979",3185,1910,455,315,255,250,3459,2277,366,2230
"77982",360,255,40,25,30,10,424,317,34,265
"77983",460,290,80,40,25,25,494,324,52,330
"77984",1155,830,100,120,55,50,1227,925,129,920
"77986",25,15,5,5,0,0,26,18,2,20
"77987",60,45,5,5,5,0,68,54,5,40
"77988",165,100,30,10,15,10,170,119,11,115
"77989",25,20,5,0,0,0,24,18,0,20
"77990",180,95,30,20,15,20,182,105,24,115
"77991",60,35,10,5,5,5,69,44,5,40
"77993",45,30,5,5,5,0,55,37,9,40
"77994",125,80,15,20,10,0,133,90,17,100
"77995",2115,1365,290,220,110,130,2206,1537,235,1525
"78107",85,45,15,10,5,10,70,43,8,55
"78113",460,310,45,55,25,25,478,342,52,360
"78116",95,70,10,5,5,5,100,78,7,75
"78117",135,80,15,20,15,5,130,86,21,105
"78118",850,465,145,110,65,65,791,475,103,580
"78119",1130,640,210,125,75,80,1081,665,122,770
"78141",200,120,30,20,20,10,204,131,23,145
"78151",345,185,60,40,25,35,310,187,33,225
"78164",1070,685,125,135,70,55,1104,759,136,800
"78340",110,70,10,10,15,5,116,80,13,75
"78377",905,520,135,115,55,80,948,613,122,650
"78393",595,380,90,60,35,30,643,436,66,430
"76055",530,335,85,35,25,50,562,383,37,355
"76524",525,340,90,40,20,35,561,392,40,345
"76557",1020,595,175,95,50,105,1039,676,103,640
"76570",665,405,100,55,45,60,612,405,56,465
"76621",190,135,20,20,10,5,197,144,22,155
"76622",225,155,30,20,10,10,240,175,19,170
"76624",525,325,85,40,25,50,574,386,45,355
"76627",330,205,60,30,15,20,374,246,36,225
"76628",25,20,0,0,5,0,21,19,0,20
"76630",270,170,40,25,5,30,276,188,24,175
"76631",105,60,15,10,5,15,114,73,10,65
"76632",330,190,65,25,15,35,322,199,24,205
"76633",915,605,130,65,45,70,1082,763,79,640
"76634",1855,1270,225,180,95,85,2093,1524,194,1430
"76636",355,235,50,30,10,30,405,286,33,250
"76637",165,120,10,15,10,10,183,143,14,120
"76638",470,345,40,30,30,25,553,438,36,380
"76640",690,400,145,70,25,50,741,453,75,440
"76643",2185,1445,305,160,75,200,2478,1759,192,1490
"76644",150,110,15,15,5,5,169,130,16,115
"76645",2315,1445,355,230,110,175,2425,1659,253,1655
"76648",680,405,125,65,30,55,726,473,73,445
"76649",205,150,20,20,10,5,219,163,22,165
"76650",25,10,10,5,0,0,24,11,2,10
"76652",245,165,35,15,15,15,274,198,20,180
"76654",55,35,10,5,0,5,61,40,4,35
"76655",1395,870,210,120,75,120,1571,1056,133,955
"76656",525,325,95,40,25,40,527,356,42,345
"76657",1685,1120,235,130,85,115,1897,1366,144,1225
"76660",145,80,25,15,5,20,148,90,17,90
"76661",1570,880,325,175,45,145,1449,872,170,990
"76664",720,400,155,75,25,65,710,431,79,450
"76665",595,395,80,45,30,45,646,468,49,435
"76666",60,40,5,5,5,5,69,54,3,45
"76671",505,355,70,35,25,20,556,416,36,370
"76673",245,145,50,15,10,25,254,165,18,145
"76676",80,45,10,10,5,10,73,44,12,55
"76680",55,45,10,0,0,0,59,46,0,35
"76682",585,375,100,40,30,40,611,425,39,415
"76684",75,50,10,5,0,10,76,58,6,50
"76685",25,20,0,0,5,0,30,27,0,25
"76689",755,510,105,60,35,45,853,607,70,555
"76690",225,145,35,15,10,20,230,158,17,145
"76691",1270,825,170,150,45,80,1390,947,165,930
"76692",3065,2060,465,235,130,175,3440,2485,255,2145
"76701",330,70,60,5,5,190,211,75,4,75
"76702",405,230,100,25,5,45,424,276,30,250
"76703",390,135,155,30,10,60,325,143,23,160
"76704",1720,855,470,135,35,225,1375,748,116,940
"76705",4625,2590,960,395,185,495,4622,2893,396,2825
"76706",3980,2340,755,335,155,395,3993,2618,358,2585
"76707",2205,975,665,185,65,315,1862,948,158,1100
"76708",3850,2160,805,335,155,395,3922,2491,350,2400
"76710",5085,3205,715,545,275,345,5929,4109,703,3775
"76711",1300,715,295,110,50,130,1250,761,110,815
"76712",4245,3015,355,390,255,230,5220,3949,496,3430
"76714",205,130,30,20,10,15,235,160,25,145
"76715",295,145,100,15,10,25,281,155,14,155
"75101",115,60,30,5,5,15,114,69,8,65
"75118",95,65,15,5,5,5,119,86,6,70
"75119",3895,2445,605,340,155,350,4283,2961,375,2655
"75120",325,190,65,25,10,35,345,223,32,200
"75125",945,565,190,75,35,80,992,632,79,585
"75142",3075,1920,520,240,130,265,3434,2330,266,2025
"75143",3640,2355,635,300,130,220,4071,2797,338,2450
"75147",1855,1155,325,170,60,145,1987,1341,194,1225
"75152",690,405,140,50,30,65,790,516,61,430
"75154",4685,2820,820,315,185,545,5469,3625,353,2895
"75156",4055,2735,645,290,145,240,4662,3377,328,2850
"75157",75,45,10,10,5,5,69,45,8,55
"75158",835,520,140,70,30,75,977,658,80,555
"75165",5785,3680,905,465,230,505,6633,4605,539,3945
"75167",980,670,135,50,35,90,1169,867,62,670
"75168",365,230,65,25,10,35,413,285,28,240
"76041",90,65,15,5,5,0,99,73,8,70
"76064",310,200,60,20,10,20,352,237,26,205
"76065",3620,2395,450,270,155,350,4451,3201,334,2470
"76084",1025,570,230,80,35,110,1126,698,83,605
"76623",75,40,15,10,5,5,77,43,9,45
"76651",580,330,120,50,20,60,606,381,52,345
"76670",265,170,45,20,5,25,280,196,20,165
"76228",260,175,30,25,20,10,269,192,29,195
"76230",2440,1580,345,255,120,140,2677,1866,288,1815
"76239",270,180,35,20,15,20,297,210,21,190
"76251",215,150,25,10,10,20,223,168,12,150
"76255",1515,945,245,160,55,110,1627,1088,176,1045
"76261",65,40,10,5,10,0,66,45,5,50
"76265",445,305,55,40,20,25,488,359,43,330
"76270",460,300,65,35,25,35,519,368,38,300
"76301",3320,1760,910,260,85,305,3162,1857,248,1890
"76302",2285,1390,390,225,95,185,2471,1655,259,1560
"76305",1130,725,170,80,60,95,1216,843,86,790
"76306",3070,1670,705,285,130,280,2920,1759,283,1890
"76307",410,200,120,30,10,50,420,257,25,215
"76308",3500,2325,385,400,170,220,4169,2958,512,2665
"76309",2695,1570,490,280,125,230,2901,1878,329,1830
"76310",3155,2005,460,285,165,240,3490,2393,326,2215
"76311",35,10,10,5,0,10,29,13,3,10
"76351",465,285,70,60,20,30,497,325,71,335
"76354",2355,1370,420,235,135,195,2435,1551,259,1580
"76357",180,110,25,15,10,20,175,115,20,120
"76360",890,490,165,110,55,70,945,582,123,595
"76363",70,40,10,10,10,0,72,49,7,60
"76364",45,25,5,5,10,0,56,31,10,35
"76365",1210,785,185,115,55,70,1298,896,124,855
"76366",510,305,90,60,25,30,555,356,72,355
"76367",1965,1235,320,165,90,155,2104,1418,194,1385
"76369",65,35,15,5,5,5,74,43,6,40
"76370",70,40,15,5,5,5,68,43,3,45
"76371",365,230,30,55,30,20,373,261,57,300
"76372",235,150,45,20,10,10,242,161,21,170
"76373",45,35,5,0,5,0,46,36,0,30
"76374",1120,645,200,125,50,100,1160,738,137,755
"76377",205,120,35,30,10,10,226,137,33,145
"76379",100,65,10,10,5,10,110,77,8,70
"76380",1140,725,175,130,60,50,1178,791,142,865
"76384",2420,1455,430,240,105,190,2467,1604,259,1645
"76385",310,180,65,20,10,35,305,198,19,190
"76389",200,120,15,30,25,10,218,142,36,165
"76450",2980,1965,395,290,140,190,3336,2363,356,2230
"76460",90,60,20,5,5,0,94,63,5,65
"76481",65,45,5,5,10,0,60,44,5,55
"76483",275,180,30,30,20,15,284,198,34,225
"76491",115,80,10,10,10,5,121,87,15,100
"79201",1330,820,220,130,70,90,1314,885,136,920
"79225",240,170,25,20,10,15,235,178,17,175
"79227",425,275,60,30,35,25,423,299,33,315
"79247",20,15,5,0,0,0,28,17,0,15
"79248",475,300,70,55,20,30,460,317,53,355
"79252",760,480,120,80,25,55,780,535,90,550
"79505",60,45,5,5,0,5,60,49,4,45
"79529",355,215,55,40,25,20,352,228,43,255
