Zip,NumTotal,NumRetired,NumDisabled,NumWidowerorParent,NumSpouses,NumChildren,BenTotal,BenRetired,BenWidowerorParent,NumSeniors
"77586",2975,2010,325,230,185,225,3936,2886,321,2220
"77587",1895,1035,270,220,190,180,1804,1095,233,1255
"77598",1945,1075,400,195,65,210,2249,1384,231,1190
"79021",20,15,5,0,0,0,27,21,0,15
"79027",830,495,85,95,90,65,826,550,102,615
"79032",30,20,5,5,0,0,27,19,3,20
"79041",640,370,85,60,65,60,610,397,69,460
"79042",245,145,25,35,20,20,256,166,38,185
"79043",250,140,20,35,30,25,245,148,45,195
"79052",280,180,25,25,30,20,282,204,24,225
"79063",110,75,5,10,10,10,114,83,8,95
"79072",3765,2260,525,440,270,270,3856,2551,482,2725
"79073",390,205,75,45,20,45,354,213,37,240
"79085",20,10,0,5,0,5,17,12,3,15
"79088",1140,720,135,140,100,45,1150,789,151,895
"79231",20,10,0,5,0,5,17,8,4,10
"79234",30,25,0,0,0,5,27,21,0,25
"79235",805,500,90,90,75,50,803,559,96,620
"79241",505,315,45,50,50,45,527,370,53,375
"79244",210,140,20,25,20,5,221,158,30,175
"79250",290,175,25,35,35,20,288,191,40,220
"79255",150,90,15,15,20,10,139,93,18,120
"79256",125,85,15,15,10,0,125,85,19,105
"79257",280,180,20,35,35,10,286,203,40,225
"79258",15,10,0,5,0,0,16,10,5,10
"79311",685,415,90,80,55,45,705,479,86,515
"77514",945,600,130,95,45,75,1060,734,102,655
"77560",215,115,40,25,10,25,225,133,30,130
"77580",520,330,70,50,40,30,685,471,67,360
"77597",150,80,35,15,5,15,187,103,16,85
"77611",1640,915,240,200,150,135,2009,1230,261,1140
"77619",3410,1905,510,445,295,255,4107,2506,579,2365
"77622",270,165,40,25,20,20,331,214,35,190
"77626",415,200,85,50,35,45,480,261,65,255
"77627",4260,2540,545,490,390,295,5221,3408,647,3125
"77630",5555,2895,1105,695,390,470,6319,3682,825,3540
"77631",365,175,95,45,10,40,390,214,51,210
"77632",3835,2135,655,400,325,320,4620,2840,502,2565
"77639",175,80,40,25,10,20,195,102,25,100
"77640",3865,2035,795,505,200,330,4124,2388,572,2485
"77641",395,175,115,55,10,40,401,199,56,220
"77642",5550,2780,1220,665,330,555,5746,3236,751,3350
"77643",110,35,45,10,5,15,110,46,13,50
"77651",2670,1725,290,300,210,145,3367,2341,383,2045
"77655",80,45,10,10,10,5,90,58,12,55
"77661",155,95,30,10,10,10,159,101,12,100
"77662",5050,2540,985,625,380,520,5779,3266,750,3145
"77665",1170,655,190,175,85,65,1353,817,217,810
"77670",650,315,140,80,45,70,722,406,88,390
"76820",55,35,0,10,5,5,58,44,9,40
"76821",1175,725,165,145,60,80,1181,783,156,860
"76825",1715,1055,250,190,95,125,1668,1113,187,1220
"76836",15,15,0,0,0,0,14,14,0,15
"76837",370,235,55,35,20,25,354,253,33,260
"76841",45,35,5,5,0,0,45,34,3,35
"76842",50,35,5,0,5,5,48,40,0,40
"76848",30,20,0,5,5,0,31,24,2,25
"76849",965,640,115,115,55,40,991,706,108,730
"76852",70,55,5,5,5,0,69,56,3,55
"76854",145,100,15,15,10,5,165,120,20,110
